Laseregg_1c5d 7 day hourly averages

Sent to m.hieu.b@gmail.com
Origins Technology, 2017-06-15 03:21:49
Time span: 2017-06-08 10:00 to 2017-06-15 10:00

Reporting Time,Pm 2.5,Pm 10
2017-06-10 11:0,-,-
2017-06-10 10:0,-,-
2017-06-10 09:0,-,-
2017-06-10 08:0,-,-
2017-06-10 07:0,-,-
2017-06-10 06:0,-,-
2017-06-10 05:0,-,-
2017-06-10 04:0,-,-
2017-06-10 03:0,-,-
2017-06-10 02:0,-,-
2017-06-10 01:0,-,-
2017-06-10 00:0,-,-
2017-06-09 23:0,-,-
2017-06-09 22:0,-,-
2017-06-09 21:0,-,-
2017-06-09 20:0,-,-
2017-06-09 19:0,1,2
2017-06-09 18:0,1,1
2017-06-09 17:0,-,-
2017-06-09 16:0,-,-
2017-06-09 15:0,-,-
2017-06-09 14:0,-,-
2017-06-09 13:0,-,-
2017-06-09 12:0,0,0
2017-06-09 11:0,23,24
2017-06-09 10:0,28,30
2017-06-09 09:0,35,37
2017-06-09 08:0,32,33
2017-06-09 07:0,21,22
2017-06-09 06:0,22,23
2017-06-09 05:0,24,25
2017-06-09 04:0,27,28
2017-06-09 03:0,32,33
2017-06-09 02:0,37,38
2017-06-09 01:0,42,44
2017-06-09 00:0,51,54
2017-06-08 23:0,63,67
2017-06-08 22:0,-,-
2017-06-08 21:0,-,-
2017-06-08 20:0,-,-
2017-06-08 19:0,-,-
2017-06-08 18:0,-,-
2017-06-08 17:0,-,-
2017-06-08 16:0,-,-
2017-06-08 15:0,-,-
2017-06-08 14:0,-,-
2017-06-08 13:0,-,-
2017-06-08 12:0,-,-
2017-06-08 11:0,-,-
2017-06-08 10:0,-,-
2017-06-08 09:0,-,-
2017-06-08 08:0,-,-
2017-06-08 07:0,-,-
2017-06-08 06:0,-,-
2017-06-08 05:0,-,-
2017-06-08 04:0,-,-
2017-06-08 03:0,-,-
2017-06-08 02:0,-,-
2017-06-08 01:0,-,-
2017-06-08 00:0,-,-
2017-06-07 23:0,-,-
2017-06-07 22:0,-,-
2017-06-07 21:0,-,-
2017-06-07 20:0,17,18
2017-06-07 19:0,55,59
2017-06-07 18:0,-,-
2017-06-07 17:0,-,-
2017-06-07 16:0,235,251
2017-06-07 15:0,216,229
2017-06-07 14:0,-,-
2017-06-07 13:0,-,-
2017-06-07 12:0,11,11
2017-06-07 11:0,-,-
