Laseregg_1c5d 7 day hourly averages

Sent to m.hieu.b@gmail.com
Origins Technology, 2017-06-17 07:39:59
Time span: 2017-06-10 14:00 to 2017-06-17 14:00

Reporting Time,Pm 2.5,Pm 10
2017-06-12 13:0,-,-
2017-06-12 12:0,-,-
2017-06-12 11:0,-,-
2017-06-12 10:0,-,-
2017-06-12 09:0,-,-
2017-06-12 08:0,-,-
2017-06-12 07:0,-,-
2017-06-12 06:0,-,-
2017-06-12 05:0,-,-
2017-06-12 04:0,-,-
2017-06-12 03:0,-,-
2017-06-12 02:0,-,-
2017-06-12 01:0,-,-
2017-06-12 00:0,-,-
2017-06-11 23:0,-,-
2017-06-11 22:0,-,-
2017-06-11 21:0,-,-
2017-06-11 20:0,-,-
2017-06-11 19:0,-,-
2017-06-11 18:0,-,-
2017-06-11 17:0,-,-
2017-06-11 16:0,-,-
2017-06-11 15:0,-,-
2017-06-11 14:0,-,-
2017-06-11 13:0,-,-
2017-06-11 12:0,-,-
2017-06-11 11:0,-,-
2017-06-11 10:0,-,-
2017-06-11 09:0,-,-
2017-06-11 08:0,-,-
2017-06-11 07:0,-,-
2017-06-11 06:0,-,-
2017-06-11 05:0,-,-
2017-06-11 04:0,-,-
2017-06-11 03:0,-,-
2017-06-11 02:0,-,-
2017-06-11 01:0,-,-
2017-06-11 00:0,-,-
2017-06-10 23:0,-,-
2017-06-10 22:0,-,-
2017-06-10 21:0,-,-
2017-06-10 20:0,-,-
2017-06-10 19:0,-,-
2017-06-10 18:0,-,-
2017-06-10 17:0,-,-
2017-06-10 16:0,-,-
2017-06-10 15:0,-,-
2017-06-10 14:0,-,-
2017-06-10 13:0,-,-
2017-06-10 12:0,-,-
2017-06-10 11:0,-,-
2017-06-10 10:0,-,-
2017-06-10 09:0,-,-
2017-06-10 08:0,-,-
2017-06-10 07:0,-,-
2017-06-10 06:0,-,-
2017-06-10 05:0,-,-
2017-06-10 04:0,-,-
2017-06-10 03:0,-,-
2017-06-10 02:0,-,-
2017-06-10 01:0,-,-
2017-06-10 00:0,-,-
2017-06-09 23:0,-,-
2017-06-09 22:0,-,-
2017-06-09 21:0,-,-
2017-06-09 20:0,-,-
2017-06-09 19:0,1,2
2017-06-09 18:0,1,1
2017-06-09 17:0,-,-
2017-06-09 16:0,-,-
2017-06-09 15:0,-,-
