,date,coolingdegreedays,coolingdegreedaysnormal,fog,gdegreedays,hail,heatingdegreedays,heatingdegreedaysnormal,humidity,maxdewpti,maxdewptm,maxhumidity,maxpressurei,maxpressurem,maxtempi,maxtempm,maxvisi,maxvism,maxwspdi,maxwspdm,meandewpti,meandewptm,meanpressurei,meanpressurem,meantempi,meantempm,meanvisi,meanvism,meanwdird,meanwdire,meanwindspdi,meanwindspdm,mindewpti,mindewptm,minhumidity,minpressurei,minpressurem,mintempi,mintempm,minvisi,minvism,minwspdi,minwspdm,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,monthtodatesnowfalli,monthtodatesnowfallm,precipi,precipm,precipsource,rain,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,since1julsnowfalli,since1julsnowfallm,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,snow,snowdepthi,snowdepthm,snowfalli,snowfallm,thunder,tornado
0,"{'pretty': '12:00 AM +07 on January 05, 2015', 'year': '2015', 'mon': '01', 'mday': '05', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",17,,0,32,0,0,,76,75,24,89,29.86,1011,87,31,6.2,10.0,12,18,72,22,29.83,1009.94,82,28,5.5,8.8,225,SW,3,5,70,21,55,29.77,1008,77,25,2.5,4.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,1,,,,,,,,,,,0,,,,,1,0
0,"{'pretty': '12:00 AM ICT on January 06, 2015', 'year': '2015', 'mon': '01', 'mday': '06', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",16,,0,31,0,0,,73,73,23,94,29.89,1012,89,32,6.2,10.0,10,17,71,22,29.81,1009.49,81,28,5.2,8.3,126,SE,4,6,70,21,52,29.77,1008,73,23,1.9,3.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,1,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 07, 2015', 'year': '2015', 'mon': '01', 'mday': '07', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",17,,0,32,0,0,,72,73,23,89,29.89,1012,89,32,6.2,10.0,8,13,71,22,29.83,1010.12,82,28,5.3,8.5,119,ESE,4,6,66,19,46,29.80,1009,75,24,1.2,2.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 08, 2015', 'year': '2015', 'mon': '01', 'mday': '08', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",17,,0,32,0,0,,64,70,21,83,29.92,1013,91,33,6.2,10.0,8,13,68,20,29.87,1011.33,82,28,5.9,9.5,116,ESE,3,5,63,17,38,29.83,1010,73,23,3.1,5.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 09, 2015', 'year': '2015', 'mon': '01', 'mday': '09', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",16,,0,31,0,0,,62,70,21,78,29.95,1014,91,33,6.2,10.0,8,13,66,19,29.89,1012.10,81,28,6.2,10.0,108,ESE,4,6,63,17,38,29.83,1010,71,22,6.2,10.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 10, 2015', 'year': '2015', 'mon': '01', 'mday': '10', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",18,,0,33,0,0,,67,72,22,89,29.92,1013,91,33,6.2,10.0,10,17,69,20,29.87,1011.23,83,28,5.2,8.3,314,NW,3,5,64,18,41,29.80,1009,75,24,3.1,5.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM ICT on January 11, 2015', 'year': '2015', 'mon': '01', 'mday': '11', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",16,,0,31,0,0,,71,72,22,89,29.92,1013,87,31,6.2,10.0,8,13,70,21,29.86,1011.06,81,28,5.3,8.5,201,SSW,4,6,68,20,52,29.80,1009,75,24,3.7,6.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,1,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 12, 2015', 'year': '2015', 'mon': '01', 'mday': '12', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",15,,0,30,0,0,,68,72,22,89,29.92,1013,87,31,6.2,10.0,10,17,68,20,29.87,1011.17,80,27,5.8,9.3,178,South,3,5,64,18,49,29.77,1008,73,23,5.0,8.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 13, 2015', 'year': '2015', 'mon': '01', 'mday': '13', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",16,,0,31,0,0,,71,72,22,88,29.95,1014,89,32,6.2,10.0,9,15,69,20,29.89,1011.85,81,28,5.7,9.1,199,SSW,4,6,63,17,43,29.83,1010,73,23,4.3,7.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM ICT on January 14, 2015', 'year': '2015', 'mon': '01', 'mday': '14', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",15,,0,30,0,0,,69,70,21,88,29.98,1015,87,31,6.2,10.0,8,13,68,20,29.92,1013.02,80,27,5.6,9.1,247,WSW,3,5,64,18,46,29.86,1011,73,23,3.7,6.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 15, 2015', 'year': '2015', 'mon': '01', 'mday': '15', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",12,,0,26,0,0,,58,68,20,83,30.01,1016,89,32,6.2,10.0,8,13,60,15,29.93,1013.45,76,25,5.6,9.0,200,SSW,4,6,50,10,26,29.86,1011,64,18,4.3,7.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 16, 2015', 'year': '2015', 'mon': '01', 'mday': '16', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",12,,0,28,0,0,,65,68,20,94,30.01,1016,87,31,6.2,10.0,12,18,63,17,29.92,1013.09,78,26,4.8,7.8,293,WNW,3,5,55,13,33,29.83,1010,68,20,1.9,3.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM ICT on January 17, 2015', 'year': '2015', 'mon': '01', 'mday': '17', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,29,0,0,,64,68,20,88,29.98,1015,89,32,6.2,10.0,10,17,64,18,29.92,1012.98,79,26,5.0,8.1,286,WNW,4,6,59,15,36,29.86,1011,69,21,1.9,3.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 18, 2015', 'year': '2015', 'mon': '01', 'mday': '18', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",12,,0,28,0,0,,62,70,21,83,29.98,1015,86,30,6.2,10.0,9,15,64,18,29.92,1012.98,78,26,5.9,9.5,282,WNW,4,6,61,16,48,29.86,1011,69,21,5.0,8.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 19, 2015', 'year': '2015', 'mon': '01', 'mday': '19', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",12,,0,27,0,0,,64,68,20,78,30.01,1016,86,30,6.2,10.0,8,13,64,18,29.94,1013.58,77,25,5.4,8.6,260,West,3,5,61,16,45,29.89,1012,68,20,5.0,8.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 20, 2015', 'year': '2015', 'mon': '01', 'mday': '20', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",13,,0,28,0,0,,68,70,21,94,30.04,1017,87,31,6.2,10.0,8,13,65,19,29.97,1014.61,78,26,4.8,7.7,334,NNW,4,6,57,14,40,29.92,1013,69,21,0.9,1.5,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 21, 2015', 'year': '2015', 'mon': '01', 'mday': '21', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,28,0,0,,67,70,21,94,30.06,1018,89,32,6.2,10.0,13,20,65,18,30.00,1015.69,78,26,4.6,7.4,105,ESE,4,6,57,14,33,29.92,1013,68,20,1.9,3.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 22, 2015', 'year': '2015', 'mon': '01', 'mday': '22', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,29,0,0,,69,70,21,94,30.06,1018,87,31,6.2,10.0,10,17,66,19,29.99,1015.51,79,26,4.8,7.8,64,ENE,4,7,61,16,40,29.92,1013,71,22,0.9,1.5,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 23, 2015', 'year': '2015', 'mon': '01', 'mday': '23', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",12,,0,28,0,0,,63,68,20,88,30.01,1016,87,31,6.2,10.0,13,20,63,17,29.93,1013.40,78,26,5.2,8.4,126,SE,5,8,59,15,38,29.83,1010,68,20,3.7,6.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 24, 2015', 'year': '2015', 'mon': '01', 'mday': '24', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",12,,0,28,0,0,,61,64,18,83,30.01,1016,87,31,6.2,10.0,12,18,62,17,29.95,1013.83,78,26,5.1,8.2,136,SE,6,10,59,15,38,29.89,1012,68,20,1.2,2.0,2,4,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 25, 2015', 'year': '2015', 'mon': '01', 'mday': '25', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,28,0,0,,62,66,19,83,30.01,1016,89,32,6.2,10.0,13,20,62,17,29.95,1014.04,78,26,5.4,8.6,130,SE,6,10,57,14,33,29.89,1012,68,20,5.0,8.0,2,4,,,,,,,0.00,0.0,3Or6HourObs,1,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM ICT on January 26, 2015', 'year': '2015', 'mon': '01', 'mday': '26', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,28,0,0,,66,68,20,94,30.01,1016,89,32,6.2,10.0,13,20,65,18,29.93,1013.49,78,26,4.8,7.7,133,SE,4,7,61,16,38,29.86,1011,68,20,1.2,2.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM ICT on January 27, 2015', 'year': '2015', 'mon': '01', 'mday': '27', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",15,,0,30,0,0,,63,68,20,83,29.95,1014,89,32,6.2,10.0,13,20,65,18,29.88,1011.81,80,27,5.3,8.5,147,SSE,4,7,61,16,40,29.80,1009,71,22,5.0,8.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 28, 2015', 'year': '2015', 'mon': '01', 'mday': '28', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,29,0,0,,66,68,20,88,29.92,1013,89,32,6.2,10.0,12,18,65,19,29.86,1011.02,79,26,5.4,8.7,135,SE,4,7,61,16,43,29.80,1009,69,21,3.7,6.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 29, 2015', 'year': '2015', 'mon': '01', 'mday': '29', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",15,,0,30,0,0,,68,70,21,88,29.95,1014,91,33,6.2,10.0,13,20,67,19,29.88,1011.79,80,27,5.2,8.4,122,ESE,5,9,64,18,43,29.83,1010,69,21,3.1,5.0,2,4,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 30, 2015', 'year': '2015', 'mon': '01', 'mday': '30', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",16,,0,31,0,0,,64,68,20,83,30.01,1016,91,33,6.2,10.0,15,24,65,18,29.92,1013.04,81,28,5.0,8.1,115,ESE,5,8,61,16,41,29.86,1011,71,22,3.7,6.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on January 31, 2015', 'year': '2015', 'mon': '01', 'mday': '31', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,29,0,0,,58,66,19,83,30.01,1016,89,32,6.2,10.0,12,18,62,17,29.94,1013.77,79,26,5.6,8.9,146,SE,4,6,59,15,36,29.89,1012,69,21,5.0,8.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM ICT on February 01, 2015', 'year': '2015', 'mon': '02', 'mday': '01', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,28,0,0,,55,66,19,83,30.01,1016,91,33,6.2,10.0,13,20,60,16,29.94,1013.62,78,26,5.8,9.3,77,ENE,5,8,46,8,21,29.86,1011,66,19,5.0,8.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on February 02, 2015', 'year': '2015', 'mon': '02', 'mday': '02', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",16,,0,30,0,0,,59,68,20,88,30.01,1016,93,34,6.2,10.0,10,17,63,17,29.95,1014.04,80,27,5.4,8.7,107,ESE,3,5,55,13,28,29.89,1012,68,20,2.5,4.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,1,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM ICT on February 03, 2015', 'year': '2015', 'mon': '02', 'mday': '03', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",16,,0,31,0,0,,62,68,20,88,30.04,1017,91,33,6.2,10.0,13,20,65,19,29.97,1014.81,81,28,5.1,8.3,102,ESE,5,7,59,15,34,29.92,1013,71,22,3.7,6.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on February 04, 2015', 'year': '2015', 'mon': '02', 'mday': '04', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",16,,0,31,0,0,,60,70,21,83,30.04,1017,91,33,6.2,10.0,13,20,64,18,29.95,1014.12,81,28,6.2,10.0,85,East,4,6,57,14,31,29.86,1011,71,22,6.2,10.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on February 05, 2015', 'year': '2015', 'mon': '02', 'mday': '05', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",16,,0,31,0,0,,55,66,19,78,30.01,1016,93,34,6.2,10.0,14,22,61,16,29.94,1013.66,81,28,6.2,10.0,76,ENE,4,7,52,11,24,29.86,1011,69,21,6.2,10.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on February 06, 2015', 'year': '2015', 'mon': '02', 'mday': '06', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",12,,0,28,0,0,,57,66,19,83,30.04,1017,89,32,6.2,10.0,9,15,60,16,29.95,1013.96,78,26,5.6,8.9,245,WSW,3,5,55,13,31,29.89,1012,66,19,4.3,7.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM ICT on February 07, 2015', 'year': '2015', 'mon': '02', 'mday': '07', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,28,0,0,,64,66,19,88,30.01,1016,89,32,6.2,10.0,12,18,63,17,29.94,1013.60,78,26,4.1,6.6,170,South,3,5,57,14,33,29.86,1011,68,20,0.9,1.5,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM ICT on February 08, 2015', 'year': '2015', 'mon': '02', 'mday': '08', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,28,0,0,,59,66,19,88,30.01,1016,89,32,6.2,10.0,14,22,61,16,29.94,1013.71,78,26,5.3,8.5,112,ESE,5,8,55,13,31,29.86,1011,68,20,3.7,6.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on February 09, 2015', 'year': '2015', 'mon': '02', 'mday': '09', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",12,,0,28,0,0,,60,66,19,88,30.04,1017,89,32,5.0,8.0,13,20,61,16,29.97,1014.54,78,26,4.0,6.5,124,SE,4,6,54,12,29,29.89,1012,66,19,1.9,3.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on February 10, 2015', 'year': '2015', 'mon': '02', 'mday': '10', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",12,,0,26,0,0,,58,64,18,78,30.04,1017,87,31,6.2,10.0,12,18,60,16,29.94,1013.73,76,25,5.2,8.4,120,ESE,4,6,57,14,38,29.86,1011,66,19,3.7,6.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on February 11, 2015', 'year': '2015', 'mon': '02', 'mday': '11', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,28,0,0,,59,66,19,88,29.98,1015,89,32,6.2,10.0,12,18,61,16,29.90,1012.35,78,26,4.7,7.5,117,ESE,4,7,55,13,31,29.83,1010,68,20,2.5,4.0,1,2,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on February 12, 2015', 'year': '2015', 'mon': '02', 'mday': '12', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",15,,0,30,0,0,,56,64,18,83,29.98,1015,91,33,6.2,10.0,15,24,60,16,29.90,1012.19,80,27,5.2,8.3,137,SE,5,9,54,12,29,29.80,1009,69,21,3.7,6.0,2,4,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on February 13, 2015', 'year': '2015', 'mon': '02', 'mday': '13', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,28,0,0,,61,64,18,88,29.98,1015,89,32,6.2,10.0,13,20,62,17,29.88,1011.73,78,26,5.1,8.2,126,SE,5,8,57,14,33,29.80,1009,68,20,5.0,8.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,1,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on February 14, 2015', 'year': '2015', 'mon': '02', 'mday': '14', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",14,,0,29,0,0,,59,64,18,78,29.95,1014,87,31,6.2,10.0,14,22,62,17,29.87,1011.33,79,26,5.4,8.7,140,SE,7,11,59,15,38,29.80,1009,71,22,3.7,6.0,0,0,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
0,"{'pretty': '12:00 AM +07 on February 15, 2015', 'year': '2015', 'mon': '02', 'mday': '15', 'hour': '00', 'min': '00', 'tzname': 'Asia/Ho_Chi_Minh'}",15,,0,30,0,0,,68,68,20,88,29.95,1014,89,32,6.2,10.0,12,18,66,19,29.89,1011.90,80,27,5.0,8.0,145,SE,7,11,64,18,43,29.80,1009,71,22,3.7,6.0,5,7,,,,,,,0.00,0.0,3Or6HourObs,0,,,,,,,,,,,0,,,,,0,0
